mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
durga das uikey,Durga Das Uikey,Madhya Pradesh,41631426.0,149,279405.5436241611,1500000.0,151569502.91,151569502.91,True,27.466888259652205,109938076.91,NORMAL,15.0
dushyant singh,Dushyant Singh,Rajasthan,6100000.0,3,2033333.3333333333,2500000.0,147000000.0,147000000.0,True,4.149659863945578,140900000.0,NORMAL,15.0
e t mohammed basheer,E.T. MOHAMMED BASHEER,Kerala,29922056.0,73,409891.1780821918,2861487.0,163895872.11,163895872.11,True,18.25674778429903,133973816.11000001,NORMAL,15.0
e tukaram,E. TUKARAM,Karnataka,18150000.0,17,1067647.0588235294,5200000.0,147000000.0,147000000.0,True,12.346938775510203,128850000.0,NORMAL,15.0
eatala rajender,EATALA RAJENDER,Telangana,45839904.0,56,818569.7142857143,3000000.0,327477390.86,327477390.86,True,13.997883603389596,281637486.86,NORMAL,15.0
eswarasamy k,ESWARASAMY K,Tamil Nadu,17116294.0,17,1006840.8235294118,1700000.0,162315106.11,162315106.11,True,10.545102307606777,145198812.11,NORMAL,15.0
faggan singh kulaste,Faggan Singh Kulaste,Madhya Pradesh,46371976.0,130,356707.5076923077,1000000.0,151861648.41,151861648.41,True,30.535672755772904,105489672.41,NORMAL,15.0
g kumar naik,G. KUMAR NAIK,Karnataka,25495548.0,30,849851.6,2500000.0,147000000.0,147000000.0,True,17.343910204081634,121504452.0,NORMAL,15.0
gaikwad varsha eknath,GAIKWAD VARSHA EKNATH,Maharashtra,48000000.0,31,1548387.0967741935,2500000.0,147000000.0,147000000.0,True,32.6530612244898,99000000.0,NORMAL,15.0
gajendra singh patel,Gajendra Singh Patel,Madhya Pradesh,48782375.0,136,358693.9338235294,2000000.0,147000000.0,147000000.0,True,33.18528911564626,98217625.0,NORMAL,15.0
ganapathy rajkumar p,GANAPATHY RAJKUMAR P,Tamil Nadu,29375965.0,8,3671995.625,20000000.0,147370490.11,147370490.11,True,19.93341066998776,117994525.11000001,NORMAL,15.0
ganesan selvam,Ganesan Selvam,Tamil Nadu,75900425.0,222,341893.80630630633,4000000.0,186508749.11,186508749.11,True,40.695369714390765,110608324.11000001,NORMAL,15.0
ganesh singh,Ganesh Singh,Madhya Pradesh,29871286.0,153,195237.16339869282,500000.0,147000000.0,147000000.0,True,20.320602721088434,117128714.0,NORMAL,15.0
gaurav gogoi,GAURAV GOGOI,Assam,34945784.0,161,217054.55900621117,600000.0,147000000.0,147000000.0,True,23.772642176870747,112054216.0,NORMAL,15.0
geniben nagaji thakor,GENIBEN NAGAJI THAKOR,Gujarat,9247725.0,18,513762.5,1000000.0,147000000.0,147000000.0,True,6.290969387755102,137752275.0,NORMAL,15.0
giridhari yadav,Giridhari Yadav,Bihar,49674091.0,40,1241852.275,1995127.0,147000000.0,147000000.0,True,33.79189863945578,97325909.0,NORMAL,15.0
giriraj singh,Giriraj Singh,Bihar,39205522.0,30,1306850.7333333334,1400000.0,147000000.0,147000000.0,True,26.670423129251702,107794478.0,NORMAL,15.0
gm harish balayogi,GM Harish Balayogi,Andhra Pradesh,37966597.0,16,2372912.3125,11586983.0,147000000.0,147000000.0,True,25.827617006802722,109033403.0,NORMAL,15.0
godam nagesh,GODAM NAGESH,Telangana,21195000.0,101,209851.48514851485,500000.0,147000000.0,147000000.0,True,14.418367346938776,125805000.0,NORMAL,15.0
gopal jee thakur,Mr Gopal Jee Thakur,Bihar,35638548.0,72,494979.8333333333,799500.0,147000000.0,147000000.0,True,24.243910204081633,111361452.0,NORMAL,15.0
gopinath k,GOPINATH K,Tamil Nadu,37274009.0,43,866837.4186046511,2075000.0,147000000.0,147000000.0,True,25.356468707482993,109725991.0,NORMAL,15.0
govind makthappa karjol,GOVIND MAKTHAPPA KARJOL,Karnataka,40300000.0,74,544594.5945945946,2500000.0,147000000.0,147000000.0,True,27.414965986394556,106700000.0,NORMAL,15.0
gowaal kagada padavi,ADV GOWAAL KAGADA PADAVI,Maharashtra,3197000.0,3,1065666.6666666667,1199000.0,147816309.11,147816309.11,True,2.1628195286765672,144619309.11,NORMAL,15.0
gumma thanuja rani,Gumma Thanuja Rani,Andhra Pradesh,41778400.0,45,928408.8888888889,3990000.0,149458905.11,149458905.11,True,27.95310187054534,107680505.11000001,NORMAL,15.0
gurjeet singh aujla,Shri Gurjeet Singh Aujla,Punjab,16943646.0,44,385082.86363636365,1000000.0,147000000.0,147000000.0,True,11.526289795918368,130056354.0,NORMAL,15.0
gurmeet singh meet hayer,GURMEET SINGH MEET HAYER,Punjab,17939239.0,80,224240.4875,1000000.0,147000000.0,147000000.0,True,12.203563945578232,129060761.0,NORMAL,15.0
gyaneshwar patil,Gyaneshwar Patil,Madhya Pradesh,48977365.0,151,324353.4105960265,2450000.0,155690684.77,155690684.77,True,31.45812164186552,106713319.77000001,NORMAL,15.0
hanuman beniwal,Shri Hanuman Beniwal,Rajasthan,42252197.0,156,270847.4166666667,1500000.0,147000000.0,147000000.0,True,28.742991156462583,104747803.0,NORMAL,15.0
harendra singh malik,HARENDRA SINGH MALIK,Uttar Pradesh,47681299.0,81,588658.012345679,1488000.0,147000000.0,147000000.0,True,32.43625782312925,99318701.0,NORMAL,15.0
haribhai patel,HARIBHAI PATEL,Gujarat,45876628.0,223,205724.78923766816,2910000.0,147000000.0,147000000.0,True,31.20859047619048,101123372.0,NORMAL,15.0
harsh malhotra,Harsh Malhotra,Delhi,17760035.0,23,772175.4347826086,2917222.0,147134131.0,147134131.0,True,12.070642535007734,129374096.0,NORMAL,15.0
harsimrat kaur badal,Smt Harsimrat Kaur Badal,Punjab,49126313.0,132,372169.0378787879,2000000.0,159775982.39,159775982.39,True,30.74699480181366,110649669.38999999,NORMAL,15.0
hasmukh bhai soma bhai patel,Hasmukh Bhai Soma Bhai Patel,Gujarat,36790278.0,50,735805.56,9424000.0,147000000.0,147000000.0,True,25.0274,110209722.0,NORMAL,15.0
hema malini,Smt Hema Malini,Uttar Pradesh,19041641.0,14,1360117.2142857143,2299500.0,147000000.0,147000000.0,True,12.953497278911566,127958359.0,NORMAL,15.0
hemang joshi,DR. HEMANG JOSHI,Gujarat,38726980.0,55,704126.9090909091,4946073.0,147000000.0,147000000.0,True,26.3448843537415,108273020.0,NORMAL,15.0
hibi eden,Shri Hibi Eden,Kerala,56619305.0,48,1179568.8541666667,7896000.0,162177260.11,162177260.11,True,34.911987637229046,105557955.11000001,NORMAL,15.0
himadri singh,Smt Himadri Singh,Madhya Pradesh,41948262.0,76,551950.8157894737,2499000.0,150724861.11,150724861.11,True,27.831017186597958,108776599.11000001,NORMAL,15.0
imran masood,IMRAN MASOOD,Uttar Pradesh,47038536.0,56,839973.8571428572,1951444.0,147000000.0,147000000.0,True,31.999004081632656,99961464.0,NORMAL,15.0
indra hang subba,Indra Hang Subba,Sikkim,48878159.0,21,2327531.380952381,5000000.0,152003923.11,152003923.11,True,32.155853612165366,103125764.11000001,NORMAL,15.0
iqra choudhary,IQRA CHOUDHARY,Uttar Pradesh,34287857.0,33,1039025.9696969697,2008744.0,147000000.0,147000000.0,True,23.325072789115648,112712143.0,NORMAL,15.0
isha khan choudhury,ISHA KHAN CHOUDHURY,West Bengal,11691177.0,35,334033.6285714286,1500000.0,147000000.0,147000000.0,True,7.953181632653061,135308823.0,NORMAL,15.0
jagadish chandra barma basunia,JAGADISH CHANDRA BARMA BASUNIA,West Bengal,42035060.0,41,1025245.3658536585,5000000.0,168604641.11,168604641.11,True,24.931140520963325,126569581.11000001,NORMAL,15.0
jagadish shettar,JAGADISH SHETTAR,Karnataka,3500000.0,7,500000.0,500000.0,147000000.0,147000000.0,True,2.380952380952381,143500000.0,NORMAL,15.0
jagannath sarkar,Jagannath Sarkar,West Bengal,46668632.0,96,486131.5833333333,2272810.0,147000000.0,147000000.0,True,31.74736870748299,100331368.0,NORMAL,15.0
jai parkash,JAI PARKASH,Haryana,54758020.0,146,375054.9315068493,2100000.0,147000000.0,147000000.0,True,37.2503537414966,92241980.0,NORMAL,15.0
jai prakash,Jai Prakash,Uttar Pradesh,48884859.0,12,4073738.25,8602500.0,147000000.0,147000000.0,True,33.25500612244898,98115141.0,NORMAL,15.0
janardan mishra,Janardan Mishra,Madhya Pradesh,49729049.0,50,994580.98,3837900.0,147000000.0,147000000.0,True,33.82928503401361,97270951.0,NORMAL,15.0
janardan singh sigriwal,Shri Janardan Singh Sigriwal,Bihar,12000000.0,6,2000000.0,2000000.0,147000000.0,147000000.0,True,8.16326530612245,135000000.0,NORMAL,15.0
jashubhai bhilubhai rathva,JASHUBHAI BHILUBHAI RATHVA,Gujarat,37003525.0,123,300841.6666666667,2688000.0,147000000.0,147000000.0,True,25.17246598639456,109996475.0,NORMAL,15.0
jaswantsinh sumanbhai bhabhor,Jaswantsinh Sumanbhai Bhabhor,Gujarat,43181038.0,128,337351.859375,2500000.0,147000000.0,147000000.0,True,29.374855782312924,103818962.0,NORMAL,15.0
jayanta kumar roy,Dr Jayanta Kumar Roy,West Bengal,8257652.0,5,1651530.4,2105768.0,147000000.0,147000000.0,True,5.617450340136054,138742348.0,NORMAL,15.0
jitan ram manjhi,JITAN RAM MANJHI,Bihar,47247067.0,151,312894.4834437086,4999800.0,147000000.0,147000000.0,True,32.140861904761906,99752933.0,NORMAL,15.0
jitendra kumar dohare,JITENDRA KUMAR DOHARE,Uttar Pradesh,85705685.0,248,345587.43951612903,2000000.0,188747306.26,188747306.26,True,45.40763346415135,103041621.25999999,NORMAL,15.0
jitendra singh,Jitendra Singh,Jammu And Kashmir,34548773.0,171,202039.6081871345,559250.0,147000000.0,147000000.0,True,23.502566666666667,112451227.0,NORMAL,15.0
jitin prasada,JITIN PRASADA,Uttar Pradesh,7678364.0,22,349016.54545454547,349448.0,147000000.0,147000000.0,True,5.223376870748299,139321636.0,NORMAL,15.0
joba majhi,JOBA MAJHI,Jharkhand,3713200.0,5,742640.0,1496400.0,147000000.0,147000000.0,True,2.525986394557823,143286800.0,NORMAL,15.0
joyanta basumatary,JOYANTA BASUMATARY,Assam,7000000.0,11,636363.6363636364,1500000.0,147000000.0,147000000.0,True,4.761904761904762,140000000.0,NORMAL,15.0
jual oram,Shri Jual Oram,Odisha,69788256.0,115,606854.4,1000000.0,173096756.91,173096756.91,True,40.31748326531949,103308500.91,NORMAL,15.0
jugal kishore sharma,Shri Jugal Kishore Sharma,Jammu And Kashmir,28941708.0,49,590647.1020408163,3000000.0,147000000.0,147000000.0,True,19.688236734693877,118058292.0,NORMAL,15.0
june maliah,JUNE MALIAH,West Bengal,31812152.0,13,2447088.6153846155,7429927.0,147000000.0,147000000.0,True,21.640919727891156,115187848.0,NORMAL,15.0
jyotiraditya m scindia,JYOTIRADITYA M. SCINDIA,Madhya Pradesh,48742727.0,49,994749.5306122449,3200000.0,147000000.0,147000000.0,True,33.15831768707483,98257273.0,NORMAL,15.0
jyotirmay singh mahato,Shri Jyotirmay Singh Mahato,West Bengal,401034.0,1,401034.0,401034.0,147000000.0,147000000.0,True,0.2728122448979592,146598966.0,NORMAL,15.0
jyotsna charandas mahant,Jyotsna Charandas Mahant,Chhattisgarh,45938592.0,136,337783.76470588235,996800.0,155153738.11,155153738.11,True,29.608433905363412,109215146.11000001,NORMAL,15.0
k c venugopal,K. C VENUGOPAL,Kerala,20303972.0,15,1353598.1333333333,2884733.0,147000000.0,147000000.0,True,13.812225850340138,126696028.0,NORMAL,15.0
k e prakash,K E PRAKASH,Tamil Nadu,37669095.0,48,784772.8125,3000000.0,147000000.0,147000000.0,True,25.62523469387755,109330905.0,NORMAL,15.0
k francis george,ADV K FRANCIS GEORGE,Kerala,32171755.0,84,382997.0833333333,1500000.0,188722256.11,188722256.11,True,17.04714412763704,156550501.11,NORMAL,15.0
k radhakrishnan,K RADHAKRISHNAN,Kerala,42469493.0,68,624551.3676470588,5170000.0,147000000.0,147000000.0,True,28.89081156462585,104530507.0,NORMAL,15.0
k rajashekar basavaraj hitnal,K. RAJASHEKAR BASAVARAJ HITNAL,Karnataka,44347382.0,79,561359.2658227849,2550000.0,147000000.0,147000000.0,True,30.16828707482993,102652618.0,NORMAL,15.0
k subbarayan,K Subbarayan,Tamil Nadu,58530896.0,54,1083905.4814814816,6000000.0,147000000.0,147000000.0,True,39.81693605442177,88469104.0,NORMAL,15.0
k sudhakar,DR.K.SUDHAKAR,Karnataka,42644028.0,66,646121.6363636364,1100000.0,147000000.0,147000000.0,True,29.009542857142854,104355972.0,NORMAL,15.0
kadiyam kavya,KADIYAM KAVYA,Telangana,32527016.0,76,427987.05263157893,2000000.0,147000000.0,147000000.0,True,22.127221768707482,114472984.0,NORMAL,15.0
kakoli ghosh dastidar,Kakoli Ghosh Dastidar,West Bengal,63148245.0,84,751764.8214285715,11000000.0,147000000.0,147000000.0,True,42.957989795918365,83851755.0,NORMAL,15.0
kalanidhi veeraswamy,Kalanidhi Veeraswamy,Tamil Nadu,26899544.0,9,2988838.222222222,10000000.0,171500000.0,171500000.0,True,15.68486530612245,144600456.0,NORMAL,15.0
kalge shivaji bandappa,DR KALGE SHIVAJI BANDAPPA,Maharashtra,29333651.0,34,862754.4411764706,1991059.0,147000000.0,147000000.0,True,19.95486462585034,117666349.0,NORMAL,15.0
kali charan munda,KALI CHARAN MUNDA,Jharkhand,48958000.0,79,619721.5189873418,1300000.0,147000000.0,147000000.0,True,33.304761904761904,98042000.0,NORMAL,15.0
kali charan singh,KALI CHARAN SINGH,Jharkhand,300000.0,1,300000.0,300000.0,147000000.0,147000000.0,True,0.20408163265306123,146700000.0,NORMAL,15.0
kalipada saren,KALIPADA SAREN,West Bengal,47724974.0,27,1767591.6296296297,4947386.0,147000000.0,147000000.0,True,32.46596870748299,99275026.0,NORMAL,15.0
kalyan banerjee,Kalyan Banerjee,West Bengal,47405075.0,67,707538.432835821,4688851.0,147000000.0,147000000.0,True,32.24835034013606,99594925.0,NORMAL,15.0
kalyan vaijinathrao kale,KALYAN VAIJINATHRAO KALE,Maharashtra,33972711.0,34,999197.3823529412,1500000.0,147000000.0,147000000.0,True,23.11068775510204,113027289.0,NORMAL,15.0
kamaljeet sehrawat,Kamaljeet Sehrawat,Delhi,7781156.0,7,1111593.7142857143,1898345.0,147000000.0,147000000.0,True,5.293303401360544,139218844.0,NORMAL,15.0
kamlesh jangde,KAMLESH JANGDE,Chhattisgarh,48468461.0,61,794564.9344262296,1500000.0,150384382.11,150384382.11,True,32.22971715543394,101915921.11000001,NORMAL,15.0
kamlesh paswan,Kamlesh Paswan,Uttar Pradesh,3200000.0,2,1600000.0,1600000.0,147000000.0,147000000.0,True,2.1768707482993195,143800000.0,NORMAL,15.0
kangana ranaut,Kangana Ranaut,Himachal Pradesh,28182084.0,94,299809.40425531915,2500000.0,147000000.0,147000000.0,True,19.171485714285712,118817916.0,NORMAL,15.0
kani k navas,Kani K Navas,Tamil Nadu,11468284.0,15,764552.2666666667,2250000.0,147000000.0,147000000.0,True,7.8015537414965985,135531716.0,NORMAL,15.0
kanimozhi karunanidhi,Kanimozhi Karunanidhi,Tamil Nadu,35986942.0,15,2399129.466666667,4000000.0,147000000.0,147000000.0,True,24.480912925170067,111013058.0,NORMAL,15.0
kanwar singh tanwar,KANWAR SINGH TANWAR,Uttar Pradesh,44964686.0,42,1070587.761904762,1860544.0,147000000.0,147000000.0,True,30.588221768707484,102035314.0,NORMAL,15.0
karan bhushan singh,KARAN BHUSHAN SINGH,Uttar Pradesh,45529023.0,31,1468678.1612903227,2486995.0,147000000.0,147000000.0,True,30.972124489795917,101470977.0,NORMAL,15.0
karti p chidambaram,Shri Karti P Chidambaram,Tamil Nadu,52943423.0,73,725252.3698630137,10000000.0,159049284.11,159049284.11,True,33.2874324435084,106105861.11000001,NORMAL,15.0
kaushalendra kumar,Kaushalendra Kumar,Bihar,4799355.0,1,4799355.0,4799355.0,147000000.0,147000000.0,True,3.2648673469387752,142200645.0,NORMAL,15.0
khagen murmu,Khagen Murmu,West Bengal,5004217.0,7,714888.1428571428,1399456.0,147000000.0,147000000.0,True,3.40422925170068,141995783.0,NORMAL,15.0
khalilur rahaman,Khalilur Rahaman,West Bengal,2502015.0,3,834005.0,1242015.0,147000000.0,147000000.0,True,1.7020510204081634,144497985.0,NORMAL,15.0
kinjarapu ram mohan naidu,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,46543677.0,71,655544.7464788732,6000000.0,171200630.11,171200630.11,True,27.186627157910987,124656953.11000001,NORMAL,15.0
kirsan namdeo,DR. KIRSAN NAMDEO,Maharashtra,35887283.0,39,920186.7435897436,2000000.0,147000000.0,147000000.0,True,24.41311768707483,111112717.0,NORMAL,15.0
kirti vardhan singh,Kirti Vardhan Singh,Uttar Pradesh,47866477.0,57,839762.754385965,2389000.0,147000000.0,147000000.0,True,32.56222925170068,99133523.0,NORMAL,15.0
kishori lal,KISHORI LAL,Uttar Pradesh,37405634.0,24,1558568.0833333333,6447168.0,171500000.0,171500000.0,True,21.810865306122448,134094366.0,NORMAL,15.0
konda vishweshwar reddy,KONDA VISHWESHWAR REDDY,Telangana,35003297.0,180,194462.76111111112,1300000.0,233721420.96,233721420.96,True,14.976503589711873,198718123.96,NORMAL,15.0
kota srinivas poojary,KOTA SRINIVAS POOJARY,Karnataka,37622593.0,92,408941.22826086957,1000000.0,147000000.0,147000000.0,True,25.59360068027211,109377407.0,NORMAL,15.0
krishan pal gurjar,Krishan Pal Gurjar,Haryana,3537396.0,3,1179132.0,2100000.0,147000000.0,147000000.0,True,2.4063918367346937,143462604.0,NORMAL,15.0
krishna devi shivshanker patel,KRISHNA DEVI SHIVSHANKER PATEL,Uttar Pradesh,47829424.12,191,250415.83308900523,999000.0,147000000.0,147000000.0,True,32.53702321088435,99170575.88,NORMAL,15.0
krishna prasad tenneti,Krishna Prasad Tenneti,Andhra Pradesh,1000000.0,1,1000000.0,1000000.0,167796849.11,167796849.11,True,0.5959587473209615,166796849.11,NORMAL,15.0
kriti devi debbarman,KRITI DEVI DEBBARMAN,Tripura,19786310.0,5,3957262.0,5807060.0,147000000.0,147000000.0,True,13.460074829931973,127213690.0,NORMAL,15.0
kumbakudi sudhakaran,Shri Kumbakudi Sudhakaran,Kerala,28364105.0,68,417119.1911764706,2541665.0,147000000.0,147000000.0,True,19.29530952380952,118635895.0,NORMAL,15.0
kunduru raghuveer,KUNDURU RAGHUVEER,Telangana,3870000.0,1,3870000.0,3870000.0,162952022.0,162952022.0,True,2.374932174821372,159082022.0,NORMAL,15.0
lalji verma,LALJI VERMA,Uttar Pradesh,48784321.0,141,345988.09219858155,1516682.0,147000000.0,147000000.0,True,33.18661292517007,98215679.0,NORMAL,15.0
lata wankhede,DR. LATA WANKHEDE,Madhya Pradesh,52990867.0,75,706544.8933333333,2698500.0,147000000.0,147000000.0,True,36.04820884353742,94009133.0,NORMAL,15.0
lavu sri krishna devarayalu,Lavu Sri Krishna Devarayalu,Andhra Pradesh,416758.0,1,416758.0,416758.0,174009663.11,174009663.11,True,0.23950279113898798,173592905.11,NORMAL,15.0
laxmikant pappu nishad,LAXMIKANT PAPPU NISHAD,Uttar Pradesh,3498365.0,3,1166121.6666666667,1500000.0,147000000.0,147000000.0,True,2.3798401360544217,143501635.0,NORMAL,15.0
lovely anand,LOVELY ANAND,Bihar,2998079.0,2,1499039.5,1499181.0,147000000.0,147000000.0,True,2.0395095238095236,144001921.0,NORMAL,15.0
ls tejasvi surya,Shri LS Tejasvi Surya,Karnataka,20583617.0,18,1143534.2777777778,5490893.0,147000000.0,147000000.0,True,14.002460544217687,126416383.0,NORMAL,15.0
lumbaram,LUMBARAM,Rajasthan,30962580.0,43,720060.0,1499906.0,147000000.0,147000000.0,True,21.062979591836733,116037420.0,NORMAL,15.0
m k raghavan,Shri M K Raghavan,Kerala,29214335.0,69,423396.15942028986,1500000.0,147000000.0,147000000.0,True,19.873697278911564,117785665.0,NORMAL,15.0
m k vishnuprasad,M.K. VISHNUPRASAD,Tamil Nadu,48054242.0,52,924120.0384615385,3136643.0,147000000.0,147000000.0,True,32.68996054421769,98945758.0,NORMAL,15.0
m mallesh babu,M. MALLESH BABU,Karnataka,32507000.0,63,515984.126984127,5000000.0,147065957.11,147065957.11,True,22.10368778662076,114558957.11000001,NORMAL,15.0
m p abdussamad samadani,DR. M.P ABDUSSAMAD SAMADANI,Kerala,36192920.0,117,309341.19658119656,1500000.0,170434031.11,170434031.11,True,21.23573547153895,134241111.11,NORMAL,15.0
maddila gurumoorthy,Maddila Gurumoorthy,Andhra Pradesh,41504454.0,130,319265.0307692308,2000321.0,180399007.0,180399007.0,True,23.00703018836462,138894553.0,NORMAL,15.0
madhavaneni raghunandan rao,MADHAVANENI RAGHUNANDAN RAO,Telangana,40723529.0,61,667598.8360655737,2500000.0,147000000.0,147000000.0,True,27.703080952380954,106276471.0,NORMAL,15.0
magunta sreenivasulu reddy,Magunta Sreenivasulu Reddy,Andhra Pradesh,4105400.0,3,1368466.6666666667,2700000.0,147000000.0,147000000.0,True,2.7927891156462588,142894600.0,NORMAL,15.0
mahendra singh solanky,Mahendra Singh Solanky,Madhya Pradesh,10500000.0,14,750000.0,2000000.0,147000000.0,147000000.0,True,7.142857142857142,136500000.0,NORMAL,15.0
mahesh kashyap,MAHESH KASHYAP,Chhattisgarh,50641554.0,96,527516.1875,1408000.0,147000000.0,147000000.0,True,34.45003673469388,96358446.0,NORMAL,15.0
mahesh sharma,Mahesh Sharma,Uttar Pradesh,48856918.28,56,872444.9692857143,1088183.0,148816284.11,148816284.11,True,32.83035762664696,99959365.83000001,NORMAL,15.0
mahima kumari mewar,MAHIMA KUMARI MEWAR,Rajasthan,24886377.0,29,858150.9310344828,1200000.0,183892143.0,183892143.0,True,13.533137737157155,159005766.0,NORMAL,15.0
mahua moitra,Ms Mahua Moitra,West Bengal,62559312.0,33,1895736.7272727273,8800000.0,159865046.0,159865046.0,True,39.132576861110714,97305734.0,NORMAL,15.0
mala rajya laxmi shah,Mala Rajya Laxmi Shah,Uttarakhand,38441956.0,87,441861.5632183908,5000000.0,147000000.0,147000000.0,True,26.15099047619048,108558044.0,NORMAL,15.0
mala roy,Mala Roy,West Bengal,54069182.0,44,1228845.0454545454,10000000.0,147000000.0,147000000.0,True,36.78175646258504,92930818.0,NORMAL,15.0
malaiyarasan d,MALAIYARASAN D,Tamil Nadu,47941260.0,61,785922.2950819673,3132900.0,196416465.0,196416465.0,True,24.40796396575002,148475205.0,NORMAL,15.0
mallu ravi,DR.MALLU RAVI,Telangana,12997992.0,9,1444221.3333333333,10000000.0,147000000.0,147000000.0,True,8.842171428571428,134002008.0,NORMAL,15.0
malvika devi,MALVIKA DEVI,Odisha,37912000.0,123,308227.64227642276,800000.0,147000000.0,147000000.0,True,25.79047619047619,109088000.0,NORMAL,15.0
malvinder singh kang,MALVINDER SINGH KANG,Punjab,48751674.0,116,420273.0517241379,2000000.0,147000000.0,147000000.0,True,33.164404081632654,98248326.0,NORMAL,15.0
mani a,MANI. A.,Tamil Nadu,16488312.0,17,969900.7058823529,2500000.0,164515071.11,164515071.11,True,10.022371743057747,148026759.11,NORMAL,15.0
manickam tagore b,Manickam Tagore B,Tamil Nadu,50999333.0,44,1159075.75,2999494.0,147000000.0,147000000.0,True,34.69342380952381,96000667.0,NORMAL,15.0
manish tewari,MANISH TEWARI,Chandigarh,14246994.0,23,619434.5217391305,2310000.0,178351443.75,178351443.75,True,7.988157370887556,164104449.75,NORMAL,15.0
manju sharma,MANJU SHARMA,Rajasthan,17897015.0,15,1193134.3333333333,2500000.0,167082901.11,167082901.11,True,10.711458133120034,149185886.11,NORMAL,15.0
manna lal rawat,MANNA LAL RAWAT,Rajasthan,35708292.0,35,1020236.9142857143,1916904.0,147000000.0,147000000.0,True,24.291355102040814,111291708.0,NORMAL,15.0
manohar lal,MANOHAR LAL,Haryana,9122972.0,5,1824594.4,4870972.0,147000000.0,147000000.0,True,6.2061034013605445,137877028.0,NORMAL,15.0
manoj kumar,MANOJ KUMAR,Bihar,30561445.0,33,926104.3939393939,1492159.0,147000000.0,147000000.0,True,20.79009863945578,116438555.0,NORMAL,15.0
manoj tigga,MANOJ TIGGA,West Bengal,34957408.2,39,896343.8,4813790.0,147000000.0,147000000.0,True,23.78054979591837,112042591.8,NORMAL,15.0
manoj tiwari,Manoj Tiwari,Delhi,4953214.0,5,990642.8,1391353.0,225843858.0,225843858.0,True,2.193202880903673,220890644.0,NORMAL,15.0
mansukh mandaviya,DR. MANSUKH MANDAVIYA,Gujarat,29255976.0,95,307957.64210526313,955453.0,147000000.0,147000000.0,True,19.90202448979592,117744024.0,NORMAL,15.0
mansukhbhai dhanjibhai vasava,Mansukhbhai Dhanjibhai Vasava,Gujarat,44610940.0,153,291574.7712418301,1788750.0,147000000.0,147000000.0,True,30.347578231292516,102389060.0,NORMAL,15.0
mian altaf ahmad,MIAN ALTAF AHMAD,Jammu And Kashmir,19946000.0,10,1994600.0,15000000.0,147000000.0,147000000.0,True,13.568707482993197,127054000.0,NORMAL,15.0
midhun reddy,Midhun Reddy,Andhra Pradesh,35693942.0,133,268375.5037593985,1500000.0,178951477.11,178951477.11,True,19.946156676907016,143257535.11,NORMAL,15.0
mitesh rameshbhai bakabhai patel,Mitesh Rameshbhai Bakabhai Patel,Gujarat,38780113.0,181,214254.7679558011,1100000.0,147000000.0,147000000.0,True,26.38102925170068,108219887.0,NORMAL,15.0
mohammad jawed,Dr Mohammad Jawed,Bihar,47074100.0,73,644850.6849315069,649100.0,148669229.11,148669229.11,True,31.663647065237676,101595129.11000001,NORMAL,15.0
mohibbullah,MOHIBBULLAH,Uttar Pradesh,35257622.0,96,367266.8958333333,3069043.0,147000000.0,147000000.0,True,23.984776870748302,111742378.0,NORMAL,15.0
mohite patil dhairyasheel rajsinh,MOHITE PATIL DHAIRYASHEEL RAJSINH,Maharashtra,19660000.0,61,322295.08196721313,1000000.0,195613601.7,195613601.7,True,10.050425854410308,175953601.7,NORMAL,15.0
mukesh rajput,Mukesh Rajput,Uttar Pradesh,44140192.0,155,284775.4322580645,1022886.0,147000000.0,147000000.0,True,30.02734149659864,102859808.0,NORMAL,15.0
mukeshkumar chandrakaant dalal,MUKESHKUMAR CHANDRAKAANT DALAL,Gujarat,17562952.0,74,237337.1891891892,675000.0,147000000.0,147000000.0,True,11.947586394557822,129437048.0,NORMAL,15.0
murari lal meena,MURARI LAL MEENA,Rajasthan,2935573.0,3,978524.3333333334,1019873.0,147000000.0,147000000.0,True,1.9969884353741498,144064427.0,NORMAL,15.0
murasoli s,MURASOLI S,Tamil Nadu,54179770.0,32,1693117.8125,5600000.0,147000000.0,147000000.0,True,36.85698639455782,92820230.0,NORMAL,15.0
murlidhar mohol,MURLIDHAR MOHOL,Maharashtra,18996657.0,19,999824.052631579,1000000.0,147000000.0,147000000.0,True,12.922895918367347,128003343.0,NORMAL,15.0
naba charan majhi,NABA CHARAN MAJHI,Odisha,24600000.0,37,664864.8648648649,3100000.0,147563957.11,147563957.11,True,16.67073754444128,122963957.11000001,NORMAL,15.0
nalin soren,NALIN SOREN,Jharkhand,54500000.0,169,322485.20710059174,700000.0,147364097.11,147364097.11,True,36.983227983488035,92864097.11000001,NORMAL,15.0
narayan das ahirwar,NARAYAN DAS AHIRWAR,Uttar Pradesh,36103216.8,151,239094.15099337747,243000.0,147000000.0,147000000.0,True,24.56001142857143,110896783.2,NORMAL,15.0
narayan tatu rane,NARAYAN TATU RANE,Maharashtra,16028433.0,17,942849.0,3500000.0,147000000.0,147000000.0,True,10.903695918367347,130971567.0,NORMAL,15.0
