work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
WS/MP18221/2025-2026/140955-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP453/2026-2027/177905-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,"Construction of CC Road at Nua Kalili village of Maligaon GP, Block Rayagada",2025-02-27,2026-05-30,250000.0,457,Work partially Completed,47.6,15.0,100.0,0.0,15.0,19.04,2.25,15.0,0.0,2.25,38.54,100.0,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
WS/MP18221/2025-2026/140954-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140952-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140951-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP405/2025-2026/140142-Improvement of electricity distribution infrastructure,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,Normal/Others,mprovement of electrical distribution infrastructure at Pedayadara of Machilipatnam Mandal in Krishna District,2024-09-10,2026-02-06,381000.0,514,Vendor Identification,47.3,15.0,100.0,0.0,15.0,18.92,2.25,15.0,0.0,2.25,38.42,100.0,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 514 days.
WS/MP18221/2025-2026/140940-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140881-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140917-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140919-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140938-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140921-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140922-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140937-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140936-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140935-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140934-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140933-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-06,243000.0,264,Vendor Identification,19.2,15.0,75.0,99.99999999999994,15.0,7.68,2.25,11.25,15.0,2.25,38.43,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 264 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140932-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140931-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140923-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140930-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140929-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140928-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140927-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140926-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140918-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140916-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140925-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140911-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP18160/2025-2026/191340-Purchase of smart boards, visual display units and projectors",Rajasthan,BARMER(DISTRICT COLLECTOR BARMER_IDA),UMMEDA RAM BENIWAL,BARMER,Normal/Others,AS PER ATTECHMENT,2025-05-12,2025-08-13,450000.0,93,Work partially Completed,30.6,15.0,45.0,100.0,15.0,12.24,2.25,6.75,15.0,2.25,38.49,100.0,75.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP479/2025-2026/190877-Construction of common work sheds/ common covered sitting area,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Normal/Others,Construction of Krishi Charcha Kendra,2025-04-12,2025-08-27,1300000.0,137,Sanction,30.6,15.0,45.0,100.00000000000003,15.0,12.24,2.25,6.75,15.0,2.25,38.49,100.00000000000003,75.4,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140913-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140909-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140914-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18221/2025-2026/140912-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),Normal/Others,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,243000.0,263,Vendor Identification,19.3,15.0,75.0,99.99999999999994,15.0,7.72,2.25,11.25,15.0,2.25,38.47,99.99999999999994,75.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 263 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP18154/2025-2026/166570-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,Normal/Others,"Construction of Street in the Village, The working agency will be Gram Panchayat",2025-02-05,2025-06-18,500000.0,133,Vendor Identification,30.2,15.0,45.0,100.0,15.0,12.08,2.25,6.75,15.0,2.25,38.33,100.0,75.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP638/2025-2026/152585-Construction of buildings for community cultural activities,Madhya Pradesh,CHHATARPUR(District Collector Chhatarpur_IDA),Virendra Kumar,TIKAMGARH(SC),Normal/Others,Saansad Utsav Dham,2024-11-14,2025-04-24,1000000.0,161,Work partially Completed,30.1,15.0,45.0,100.00000000000003,15.0,12.04,2.25,6.75,15.0,2.25,38.29,100.00000000000003,75.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP761/2026-2027/139054-Construction of common work sheds/ common covered sitting area,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Tin Shed near Goshala,2024-09-05,2026-07-14,400000.0,677,Sanction,46.6,15.0,100.0,0.0,15.0,18.64,2.25,15.0,0.0,2.25,38.14,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 677 days.
"WS/MP433/2026-2027/182156-Construction of roads, link roads, pathways or any other road with or without drainage system",Jharkhand,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),Annpurna Devi,KODARMA,Normal/Others,Construction of paver blocks near  Hanuman temple premises located in village Baradih of Panchayat Simaria of Block Markacho,2025-03-15,2026-04-15,300000.0,396,Vendor Identification,46.6,15.0,100.0,0.0,15.0,18.64,2.25,15.0,0.0,2.25,38.14,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 396 days.
WS/MP18152/2025-2026/141160-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,Purchase of mobile steel water tanker,2024-09-16,2025-04-16,200000.0,212,Physical Inspection,18.6,15.0,75.0,100.00000000000003,15.0,7.44,2.25,11.25,15.0,2.25,38.19,100.00000000000003,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 212 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP300/2026-2027/160804-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Mahimamani Dev Pitha, GP-Barasahi",2024-12-22,2026-07-27,100000.0,582,Vendor Identification,46.8,15.0,100.0,0.0,15.0,18.72,2.25,15.0,0.0,2.25,38.22,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.
WS/MP761/2026-2027/156090-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Community hall in Karnegally,2024-11-30,2026-08-13,400000.0,621,Physical Inspection,46.8,15.0,100.0,0.0,15.0,18.72,2.25,15.0,0.0,2.25,38.22,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 621 days.
WS/MP433/2026-2027/179838-Renovation of ponds and lakes,Jharkhand,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),Annpurna Devi,KODARMA,Normal/Others,Construction of stairs in Akto river of village Garhai of Panchayat Lariyadih of block Koderma,2025-03-06,2026-05-18,300000.0,438,Vendor Identification,46.7,15.0,100.0,0.0,15.0,18.68,2.25,15.0,0.0,2.25,38.18,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 438 days.
WS/MP18084/2026-2027/188266-Lighting of public spaces,Karnataka,Davanagere(DEPUTY COMMISSIONER DAUANAGERE_IDA),DR. PRABHA MALLIKARJUN,DAVANAGERE,Normal/Others,Installation of highmast lights,2025-03-31,2026-06-19,500000.0,445,Vendor Identification,33.6,15.0,100.0,35.73032729488397,15.0,13.44,2.25,15.0,5.3595,2.25,38.299499999999995,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 445 days.
WS/MP18179/2026-2027/179454-Purchase of furniture and fixtures for educational purposes,Tamil Nadu,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,Normal/Others,Procurment of  furniture at Govt. Boys Highr Seceondry School in ManalmeduTown Panchayat,2025-03-05,2026-05-14,800000.0,435,Work partially Completed,46.7,15.0,100.0,0.0,15.0,18.68,2.25,15.0,0.0,2.25,38.18,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 435 days.
WS/MP18179/2026-2027/179452-Purchase of furniture and fixtures for educational purposes,Tamil Nadu,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,Normal/Others,Procurment of  furniture at Govt. Girls Highr Seceondry School in Kuthalam Town Panchayat,2025-03-05,2026-05-14,800000.0,435,Work partially Completed,46.7,15.0,100.0,0.0,15.0,18.68,2.25,15.0,0.0,2.25,38.18,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 435 days.
WS/MP300/2026-2027/160178-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Begunia, Installation of Cold Drinking Water at Saraswati Sishu Vidya Mandira, Dalatola Village of Kunjuri GP located near Deuli GP",2024-12-22,2026-07-27,100000.0,582,Sanction,46.6,15.0,100.0,0.0,15.0,18.64,2.25,15.0,0.0,2.25,38.14,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.
WS/MP300/2026-2027/160175-Installing community drinking water plants,Odisha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,Normal/Others,"Block-Begunia, Installation of Cold Drinking Water at Mahaveer Temple, Chadheibandha Village of Kunjuri GP located near Deuli GP",2024-12-22,2026-07-27,100000.0,582,Sanction,46.6,15.0,100.0,0.0,15.0,18.64,2.25,15.0,0.0,2.25,38.14,100.0,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 582 days.
WS/MP243/2025-2026/196952-Street lights,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,High must light,2025-05-05,2026-03-11,376604.0,310,Physical Inspection,19.0,15.0,75.0,100.00000000000003,15.0,7.6,2.25,11.25,15.0,2.25,38.35,100.00000000000003,75.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 310 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
