work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,anomaly_label,anomaly_score,risk_score,risk_level,anomaly_reason
"WS/MP18321/2026-2027/163326-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Trust and Society,RCC work towards the  Cooperative JIn of Vadali Taluka,2025-01-06,2026-07-08,500000.0,548,Sanction,-1,-0.09537808471733367,76.5,High,Severe sanction delay of 548 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
"WS/MP18122/2025-2026/168731-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,JALNA(DISTRICT COLLECTOR JALNA_IDA),KALYAN VAIJINATHRAO KALE,JALNA,Repair and Renovation,Strengthening of Khamgaon Chauphuli to Hasanabad Phata road in Badnapur taluka.,2025-01-24,2025-11-10,1000000.0,290,Vendor Identification,-1,-0.09540636637824784,76.5,High,Sanction delay (290 days) is 20.7x higher than the typical approval time for authority 'JALNA(DISTRICT COLLECTOR JALNA_IDA)'.
WS/MP329/2025-2026/158942-Construction of community centers and community halls,Haryana,GURUGRAM(DC CUM NODAL OFFICER MPLADS_5),Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,Trust and Society,"Jat Kalyan Sabha Sector 10, Gurugram for Construction of rooms",2024-12-16,2025-04-23,2100000.0,128,Sanction,-1,-0.0948901543031817,76.3,High,"Sanction amount (₹ 2,100,000) is 2.6x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/  MP443/2024-2025/138721-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Rodmal Nagar,RAJGARH,Normal/Others,General workshed with toilets (125×80feet),2024-09-03,2024-11-12,16177075.0,70,Work Completed,-1,-0.09454574589826548,76.2,High,"Sanction amount (₹ 16,177,075) is 53.9x higher than the typical amount for work category 'Normal/Others'."
WS/MP18148/2026-2027/181887-Construction of rooms and halls in school and colleges,Odisha,KORAPUT(District Collector Koraput_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of additional class room at Saraswati Sishu Bidya Mandir, Kundra",2025-06-20,2026-07-21,500000.0,396,Sanction,-1,-0.09444689519427141,76.2,High,Severe sanction delay of 396 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP431/2024-2025/149099-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Rao Inderjit Singh,GURGAON,Trust and Society,Completion work of Yadav Dharamshala,2024-10-23,2025-02-21,2099331.0,121,Vendor Identification,-1,-0.09382783164170161,75.9,High,"Sanction amount (₹ 2,099,331) is 2.6x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP18249/2025-2026/153601-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,Normal/Others,Development of Naihati State General Hospital.,2024-11-21,2025-08-18,20000000.0,270,Vendor Identification,-1,-0.09375374622109578,75.9,High,"Sanction amount (₹ 20,000,000) is 66.7x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (270 days) is 2.7x higher than the state average in West Bengal."
"WS/MP18249/2025-2026/153603-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,Normal/Others,Development of Bhatpara State General Hospital.,2024-11-21,2025-08-18,20000000.0,270,Vendor Identification,-1,-0.09375374622109578,75.9,High,"Sanction amount (₹ 20,000,000) is 66.7x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (270 days) is 2.7x higher than the state average in West Bengal."
WS/MP459/2025-2026/195871-Construction of community centers and community halls,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,Normal/Others,Construction of First Floor in Ongoing Community Hall Construction,2025-05-02,2026-02-19,16000000.0,293,Work partially Completed,-1,-0.0930352263474381,75.6,High,"Sanction amount (₹ 16,000,000) is 53.3x higher than the typical amount for work category 'Normal/Others'."
WS/  MP667/2025-2026/160975-Setting up public non-conventional energy plants,Maharashtra,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),Dhairyasheel Sambhajirao Mane,HATKANANGLE,Trust and Society,AT Rethre dharan Setting up public non-conventional energy plants,2024-12-23,2025-05-06,3968967.0,134,Work Completed,-1,-0.09265751141657608,75.5,High,"Sanction amount (₹ 3,968,967) is 5.0x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18063/2025-2026/175040-Lighting of public spaces,Haryana,PANIPAT(DC CUM NODAL OFFICER MPLADS),MANOHAR LAL,KARNAL,Normal/Others,installation of Tower Lights,2025-02-12,2025-04-28,4870972.0,75,Work partially Completed,-1,-0.09211747670854398,75.3,High,"Sanction amount (₹ 4,870,972) is 16.2x higher than the typical amount for work category 'Normal/Others'."
WS/MP18019/2024-2025/137519-Street lights,Assam,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),AMARSING TISSO,Diphu (ST),Normal/Others,Installation of Solar Light under Singhason MAC Constituency,2024-08-29,2024-11-13,5000000.0,76,Work partially Completed,-1,-0.090840761959323,74.8,High,"Sanction amount (₹ 5,000,000) is 16.7x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18020/2026-2027/176669-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings",Assam,BONGAIGAON(Deputy Commissioner Bongaigaon_IDA),PHANI BHUSAN CHOUDHURY,BARPETA,Repair and Renovation,"Development and Renovation of Swahid Bedi at Ward no. 21, Bongaigaon",2025-02-25,2026-06-18,800000.0,478,Vendor Identification,-1,-0.09082167350415749,74.8,High,Severe sanction delay of 478 days (> 1 year) between recommendation and approval.
WS/MP18131/2025-2026/193710-Construction of rooms and halls in school and colleges,Maharashtra,SINDHUDURG(DISTRICT COLLECTOR SINDHUDURG_IDA),NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,Trust and Society,"Construction of classrooms for Mrs. Indirabai Dattatreya Vardam High School and Arts and Commerce (Combined) Junior College, Poip FY 2024-25",2025-04-23,2025-05-07,3500000.0,14,Sanction,-1,-0.09057796361412185,74.7,High,"Sanction amount (₹ 3,500,000) is 4.4x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP522/2025-2026/169792-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,Normal/Others,Construction of Rooms and Halls in the existing Public and Community buildings at ICDS in Kotabommali village of Kotabommali mandal,2025-01-29,2025-05-31,6000000.0,122,Work partially Completed,-1,-0.09055620271447196,74.7,High,"Sanction amount (₹ 6,000,000) is 20.0x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (122 days) is 3.0x higher than the state average in Andhra Pradesh."
WS/MP858/2025-2026/157697-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),Asit Kumar Mal,BOLPUR(SC),Normal/Others,"Construction of Building ,Toilet and plumbing works AT Uddharanpur village near Electric Crematorium under Satihati GP.Executing Agency will be EO KETUGRAM- II Panchayat Samity.",2024-12-10,2025-09-25,5832150.0,289,Sanction,-1,-0.09065603493287666,74.7,High,"Sanction amount (₹ 5,832,150) is 19.4x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (289 days) is 2.8x higher than the typical approval time for authority 'PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)'."
WS/MP18174/2025-2026/184631-Development of public parks,Tamil Nadu,COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),GANAPATHY RAJKUMAR P,COIMBATORE,Normal/Others,"Construction of Terrarium at Park at Semmozhi Poonga, Central Zone in Ward No.67 of Coimbatore Corporation",2025-03-20,2025-11-13,20000000.0,238,Work partially Completed,-1,-0.09042792976388714,74.6,High,"Sanction amount (₹ 20,000,000) is 66.7x higher than the typical amount for work category 'Normal/Others'."
WS/MP18067/2026-2027/193227-Construction of community centers and community halls,Haryana,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SATPAL BRAHAMCHARI,SONEPAT,Trust and Society,Development work in Jat Vikas Sabha,2025-04-25,2026-05-20,500000.0,390,Physical Inspection,-1,-0.09018769886848832,74.5,High,Severe sanction delay of 390 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18216/2025-2026/169821-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,A.P.PUBLIC UCHCHTAR MADHYAMIK VIDYALAY LADIGAWAN KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Time Estimation,-1,-0.08979550546545356,74.4,High,"Sanction amount (₹ 1,000,000) is 4.7x higher than the median sanction amount in Uttar Pradesh. | Severe sanction delay of 402 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18081/2026-2027/157212-Construction of community centers and community halls,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR.K.SUDHAKAR,CHIKBALLAPUR,Trust and Society,Construction of community centers and community halls savitha Samaja Samudhaya Bhavana Contusion work Bangalore North,2024-12-12,2026-07-02,1000000.0,567,Sanction,-1,-0.08947072554081059,74.3,High,Severe sanction delay of 567 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18275/2024-2025/175556-Security gates in streets/public place for safety purpose,Andaman And Nicobar Islands,SOUTH ANDAMANS(Implementing District Authority(SA)),BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,Repair and Renovation,"Repair and renovation of road from CPWD complex, Ranchi Tikrey Dairyfarm to Fisheries Quarter, Port Blair",2025-02-14,2025-03-24,4947034.0,38,Work partially Completed,-1,-0.0893824486896484,74.2,High,"Sanction amount (₹ 4,947,034) is 9.9x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP541/2026-2027/141491-Construction of public libraries and reading rooms,Assam,NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA),Pradyut Bordoloi,NOWGONG,Repair and Renovation,"Repairing of public reading room at Dakhin Solmari near Subahi Muktab, Magurmari GP.",2024-12-02,2026-08-05,200000.0,611,Sanction,-1,-0.08939672335807824,74.2,High,Severe sanction delay of 611 days (> 1 year) between recommendation and approval.
WS/MP575/2025-2026/163846-Construction of community centers and community halls,Gujarat,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,Trust and Society,"For the construction of a community hall to Swastik Charitable Trust, 7, Shivam Apartment, Station Road, Bilimora, Ta. Gandevi, Dist. Navsari, located at Bilimora Nagarpalika.",2025-01-07,2025-09-01,1000000.0,237,Sanction,-1,-0.08892158810801443,74.1,High,"Sanction amount (₹ 1,000,000) is 4.0x higher than the median sanction amount in Gujarat. | Sanction delay (237 days) is 7.9x higher than the typical approval time for authority 'NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18222/2025-2026/177105-Construction of rooms and halls in school and colleges,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,Trust and Society,BABA PREM DAS INTER COLLEGE,2025-04-20,2026-02-10,500000.0,296,Work partially Completed,-1,-0.08866441205586828,74.0,High,Sanction delay (296 days) is 5.8x higher than the typical approval time for authority 'JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18159/2025-2026/179161-Construction of buildings for community cultural activities,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),BHUPENDER YADAV,ALWAR,Trust and Society,Construction of building on the land of Dr. Bhimrao Gyan Prakash Samiti Alwar Sub Branch Malakheda.,2025-03-05,2025-08-29,2000000.0,177,Sanction,-1,-0.088495923203606,73.9,High,"Sanction amount (₹ 2,000,000) is 4.0x higher than the median sanction amount in Rajasthan. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP18193/2026-2027/194216-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),EATALA RAJENDER,MALKAJGIRI,Repair and Renovation,"Laying of Damaged CC road at Bison Enclave at 5 9 360 85 p, 72 to 77 at dbr welfare association office at Yapral, Neredmet Ward No. 136, Malkajgiri Circle-28, Medchal-Malkajgiri District.",2025-04-24,2026-04-22,1650000.0,363,Vendor Identification,-1,-0.08830518177976487,73.8,High,"Sanction amount (₹ 1,650,000) is 3.3x higher than the typical amount for work category 'Repair and Renovation'. | Sanction delay (363 days) is 2.5x higher than the typical approval time for authority 'MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)'."
"WS/MP18308/2025-2026/145410-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Repair and Renovation,"Construction of Road at Umedbhai Patel High School to CDEFRN Unit, Sunder Nagar, Malad (W)",2024-10-04,2026-01-20,2000000.0,473,Vendor Identification,-1,-0.08812699423891512,73.7,High,"Sanction amount (₹ 2,000,000) is 4.0x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 473 days (> 1 year) between recommendation and approval."
WS/MP18393/2025-2026/151985-Construction of rooms and halls in school and colleges,Telangana,SIDDIPET(District Collector Siddipet_IDA),MADHAVANENI RAGHUNANDAN RAO,MEDAK,Repair and Renovation,"Repairs to Social Welfare Residential School(Girls) at Rampur(Village), Thoguta(Mandal).",2024-11-11,2025-11-12,1000000.0,366,Work Completed,-1,-0.08774454859312797,73.6,High,"Sanction amount (₹ 1,000,000) is 5.0x higher than the median sanction amount in Telangana. | Severe sanction delay of 366 days (> 1 year) between recommendation and approval."
WS/MP18307/2025-2026/180068-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Repair and Renovation,"Renovation of public toilet, installation of solar lights and beautification of the garden",2025-03-07,2026-03-25,2500000.0,383,Sanction,-1,-0.0878345837739597,73.6,High,"Sanction amount (₹ 2,500,000) is 5.0x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 383 days (> 1 year) between recommendation and approval."
WS/MP18118/2025-2026/160504-Construction of rooms and halls in school and colleges,Maharashtra,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),Trust and Society,Building Construction (Class Room) of Gramin Mahila Mahavidyalaya run by Gramin Balika Shiksha Samiti at Village Ranipur Rajmo Post Bindra Bajar Tehsil Mehnagar Dist Azamgarh Uttar Pradesh,2024-12-20,2026-03-30,1000000.0,465,Vendor Identification,-1,-0.08746684324818788,73.5,High,Severe sanction delay of 465 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
"WS/MP598/2025-2026/151547-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),Suresh Kumar Kashyap,SHIMLA (SC),Repair and Renovation,Repair of Link Road Village thel Shathar GP Chandol Executive Agency BDO Rajgarh,2024-11-09,2025-09-27,200000.0,322,Work partially Completed,-1,-0.08758593692253425,73.5,High,Sanction delay (322 days) is 2.5x higher than the typical approval time for authority 'SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)'.
WS/MP18393/2025-2026/140466-Construction of additional rooms and halls in the existing public and community building,Telangana,SIDDIPET(District Collector Siddipet_IDA),MADHAVANENI RAGHUNANDAN RAO,MEDAK,Repair and Renovation,Repair and renovation to Bar Association Building at Siddipet Town,2024-09-12,2025-09-18,1250000.0,371,Work Completed,-1,-0.08610752252764242,73.0,High,"Sanction amount (₹ 1,250,000) is 2.5x higher than the typical amount for work category 'Repair and Renovation'. | Severe sanction delay of 371 days (> 1 year) between recommendation and approval."
"WS/  MP005/2025-2026/183135-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Trust and Society,"Construction of Protection, Compound Wall at Seth M.R High School Remaining Part",2025-03-18,2026-02-26,450000.0,345,Vendor Identification,-1,-0.08582516184365019,72.9,High,Sanction delay (345 days) is 5.2x higher than the typical approval time for authority 'KHEDA(DISTRICT COLLECTOR KHEDA_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18008/2026-2027/166546-Construction of community centers and community halls,Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Dr Chandra Sekhar Pemmasani,GUNTUR,Normal/Others,"Providing Amenities to Community Hall in Narakoduru village of Chebrolu Mandal, Guntur District",2025-01-19,2026-07-09,5000000.0,536,Vendor Identification,-1,-0.08581121810350101,72.9,High,"Sanction amount (₹ 5,000,000) is 16.7x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 536 days (> 1 year) between recommendation and approval."
WS/MP687/2025-2026/187643-Construction of rooms and halls in school and colleges,Maharashtra,RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA),Sunil Dattatray Tatkare,RAIGAD,Trust and Society,"Construction of classrooms for Mangaon Education Prasarak Mandal,, Senior College,Mangaon Tal- Mangaon, Dist-Raigad",2025-03-31,2026-02-16,2500000.0,322,Work partially Completed,-1,-0.0860259213867074,72.9,High,"Sanction amount (₹ 2,500,000) is 3.1x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP18337/2026-2027/183604-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),K RADHAKRISHNAN,ALATHUR(SC),Normal/Others,"CONSTRUCTION OF LIFT IN OP TRANSFORMATION BLOCK AT DISTRICT HOSPITAL ,WADAKKANCHERY",2025-03-18,2026-05-14,5170000.0,422,Sanction,-1,-0.08585099473037427,72.9,High,"Sanction amount (₹ 5,170,000) is 17.2x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 422 days (> 1 year) between recommendation and approval."
WS/MP18192/2025-2026/196895-Construction of rooms and halls in school and colleges,Telangana,WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA),DR.MALLU RAVI,NAGARKURNOOL(SC),Normal/Others,Construction of Social Welfare Girls College Hostel A in Wanaparthy Town,2025-05-05,2025-05-15,10000000.0,10,Work partially Completed,-1,-0.08572499152720026,72.8,High,"Sanction amount (₹ 10,000,000) is 33.3x higher than the typical amount for work category 'Normal/Others'."
WS/MP18023/2025-2026/143872-Retrofitting in essential lifeline buildings,Assam,KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA),BIJULI KALITA MEDHI,GUWAHATI,Repair and Renovation,"Repairing work of Santi Nijara Club House at Bongaon , Bamunigaon , Pin-781141",2024-09-26,2026-01-30,500000.0,491,Vendor Identification,-1,-0.08552079569580628,72.7,High,Severe sanction delay of 491 days (> 1 year) between recommendation and approval.
WS/MP18212/2025-2026/186915-Construction of rooms and halls in school and colleges,Uttar Pradesh,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),ANAND BHADAURIYA,DHAURAHRA,Trust and Society,BLOCK PAHLA KE GRAM SARIYA RAJA SHAHAB KE SHRI SARYU PRASAD PRATHMIK VIDYALAYA ME BHAWAN NIRMAN KA KARYA,2025-03-27,2025-09-24,999975.0,181,Work partially Completed,-1,-0.0850517556806395,72.6,High,"Sanction amount (₹ 999,975) is 4.7x higher than the median sanction amount in Uttar Pradesh. | Sanction delay (181 days) is 4.8x higher than the typical approval time for authority 'SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18074/2024-2025/137042-Construction of additional rooms and halls in the existing public and community building,Jharkhand,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),KALI CHARAN MUNDA,KHUNTI(ST),Repair and Renovation,Renovation of old hall in Khunti Club.,2024-08-25,2024-09-30,800000.0,36,Vendor Identification,-1,-0.08518746719077208,72.6,High,"Sanction amount (₹ 800,000) is 3.2x higher than the median sanction amount in Jharkhand."
WS/MP18216/2025-2026/169833-Construction of rooms and halls in school and colleges,Uttar Pradesh,FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA),NARESH CHANDRA UTTAM PATEL,FATEHPUR,Trust and Society,SHRI BHAGWAN DEEN SMARAK VIDYALAY JAFARPUR SITHARRA JAHANABAD KE PRABANDHAK KO BHAVAN NIRMAN KARYA HETU DHANRASHI,2025-01-29,2026-03-07,1000000.0,402,Sanction,-1,-0.08507151106361133,72.6,High,"Sanction amount (₹ 1,000,000) is 4.7x higher than the median sanction amount in Uttar Pradesh. | Severe sanction delay of 402 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18351/2025-2026/158792-Renovation of ponds and lakes,Andhra Pradesh,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),DR BYREDDY SHABARI,NANDYAL,Repair and Renovation,"Repairs to the sluice of Appala Reddy Cheruvu in Palakolanu Village, Orvakal Mandal. The proposed work includes restoration and strengthening of the sluice structure to ensure proper water flow management, prevent leakage, and enhance the irrigation potential of the tank, benefiting the local agricultural community.",2024-12-15,2025-10-27,500000.0,316,Physical Inspection,-1,-0.08511330943118689,72.6,High,Sanction delay (316 days) is 13.7x higher than the typical approval time for authority 'KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)'.
WS/MP18029/2026-2027/186161-Construction of community centers and community halls,Assam,Biswanath(Deputy Commissioner Biswanath_IDA),RANJIT DUTTA,Sonitpur,Repair and Renovation,Renovation of Community Hall near Sloping Centre Siva Mandir,2025-04-01,2026-08-11,300000.0,497,Sanction,-1,-0.08451386631212943,72.4,High,Severe sanction delay of 497 days (> 1 year) between recommendation and approval.
WS/MP18343/2025-2026/179124-Construction of boundary walls of existing public and community buildings,Andhra Pradesh,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Daggubati Purandeshwari,RAJAHMUNDRY,Normal/Others,Construction of additional infrastructure at Phule Ambedkar Bhavan in the Municipal Corporation of Rajamahendravaram,2025-03-12,2025-04-08,8000000.0,27,Sanction,-1,-0.08421048252471308,72.2,High,"Sanction amount (₹ 8,000,000) is 26.7x higher than the typical amount for work category 'Normal/Others'."
WS/MP431/2024-2025/135774-Construction of buildings for community cultural activities,Haryana,GURUGRAM(DC CUM NODAL OFFICER MPLADS_5),Rao Inderjit Singh,GURGAON,Trust and Society,Const. of Jat Bhawan,2024-08-15,2024-12-16,1500000.0,123,Sanction,-1,-0.08353942841078432,72.0,High,"Sanction amount (₹ 1,500,000) is 4.3x higher than the median sanction amount in Haryana. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP598/2025-2026/162649-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),Suresh Kumar Kashyap,SHIMLA (SC),Repair and Renovation,Repair and Maintenance Link Road Shilnu ki Khadd to Village Dothi via village Surya nanah Road Gp Panjahal executive Agency BDO Nahan,2024-12-31,2025-09-24,70000.0,267,Work Completed,-1,-0.08334918968604954,71.9,High,Sanction delay (267 days) is 3.7x higher than the state average in Himachal Pradesh.
WS/MP18230/2025-2026/177489-Development of public parks,Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),R.K. CHAUDHARY,MOHANLALGANJ(SC),Repair and Renovation,Renovation of public park,2025-02-25,2025-06-15,1965000.0,110,Work partially Completed,-1,-0.08343410623760128,71.9,High,"Sanction amount (₹ 1,965,000) is 3.9x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18137/2025-2026/161378-Construction of rooms and halls in school and colleges,Meghalaya,EASTERN WEST KHASI HILLS(DEPUTY COMMISSIONER EASTERN WEST KHASI HILLS MAIRANG_IDA),ANDREW J. SYNGKON,SHILLONG,Repair and Renovation,financial assiatance for repair of classroom for Mawiong Khri Lower Primary School.,2025-01-05,2026-02-22,200000.0,413,Work partially Completed,-1,-0.08304273164211151,71.8,High,Severe sanction delay of 413 days (> 1 year) between recommendation and approval.
WS/MP18156/2025-2026/185312-Setting up public non-conventional energy plants,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),Trust and Society,"Installation of solar light from Bus Stand Khojewala to Satsang Ghar VILLAGE FEROZ Open door welfare society Jalandhar Kapurthala road, Khojewala Distt KapurthalA",2025-03-21,2025-11-19,1000000.0,243,Physical Inspection,-1,-0.0829916021947592,71.8,High,"Sanction amount (₹ 1,000,000) is 4.2x higher than the median sanction amount in Punjab. | Sanction delay (243 days) is 4.5x higher than the typical approval time for authority 'KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18086/2026-2027/171271-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),SHREYAS. M. PATEL,HASSAN,Repair and Renovation,SAARVAJANIKA SAMUDAYA BHAVANA DEVELOPMENT WORK AT KADUR TALUK HIRENALLURU GRAMA PANCHAYATH  HIRENALLURU VILLAGE 2024-25,2025-02-03,2026-05-16,1000000.0,467,Work partially Completed,-1,-0.08242128014396788,71.6,High,Severe sanction delay of 467 days (> 1 year) between recommendation and approval.
WS/MP18310/2025-2026/180856-Construction of rooms and halls in school and colleges,Odisha,Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA),AVIMANYU SETHI,BHADRAK(SC),Trust and Society,"Construction of Building of Saraswati Shishu Mandir, Anantapur.",2025-03-15,2026-02-10,500000.0,332,Sanction,-1,-0.08205606942143484,71.4,High,Sanction delay (332 days) is 2.6x higher than the typical approval time for authority 'Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
