project_id,payment_sequence,payment_date,payment_amount,progress_percent,sanction_amount,data_source
WS/MP577/2026-2027/133610-Construction of public irrigation facilities,1,2026-08-14,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2026-2027/133610-Construction of public irrigation facilities,2,2026-09-28,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133611-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133611-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-02,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133612-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-04-30,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133612-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-06-14,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133612-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-07-29,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133613-Construction of public irrigation facilities,1,2026-01-07,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133613-Construction of public irrigation facilities,2,2026-01-12,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133613-Construction of public irrigation facilities,3,2026-01-17,150000.0,40,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133614-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2026-02-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133614-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-04-02,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133614-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-05-17,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,2,2024-10-31,90000.0,60,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,3,2024-12-15,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,2,2024-10-31,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,2,2024-10-31,90000.0,60,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,3,2024-12-15,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,2,2024-10-31,90000.0,60,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,3,2024-12-15,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,2,2024-10-31,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,2,2024-10-31,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,1,2024-10-17,89746.5,30,299155.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,2,2024-12-01,119662.0,100,299155.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,2,2024-10-31,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,1,2024-09-16,90000.0,30,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,2,2024-10-31,90000.0,60,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,3,2024-12-15,120000.0,100,300000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,1,2024-10-17,59191.2,30,197304.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,2,2024-12-01,78921.6,100,197304.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133696-Installing community drinking water plants,1,2024-09-16,25350.0,30,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133696-Installing community drinking water plants,2,2024-10-31,25350.0,60,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133696-Installing community drinking water plants,3,2024-12-15,33800.0,100,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,1,2024-10-17,89682.0,30,298940.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,2,2024-12-01,119576.0,100,298940.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,1,2024-10-17,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,2,2024-12-01,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133699-Installing community drinking water plants,1,2024-10-17,25350.0,30,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133699-Installing community drinking water plants,2,2024-12-01,25350.0,60,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133699-Installing community drinking water plants,3,2025-01-15,33800.0,100,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133700-Installing community drinking water plants,1,2025-02-15,30000.0,30,100000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133700-Installing community drinking water plants,2,2025-04-01,40000.0,100,100000.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133701-Installing community drinking water plants,1,2024-09-16,25350.0,30,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133701-Installing community drinking water plants,2,2024-10-31,25350.0,60,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133701-Installing community drinking water plants,3,2024-12-15,33800.0,100,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133702-Installing community drinking water plants,1,2024-10-17,25350.0,30,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133702-Installing community drinking water plants,2,2024-12-01,33800.0,100,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133703-Installing community drinking water plants,1,2024-09-16,25350.0,30,84500.0,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133703-Installing community drinking water plants,2,2024-10-31,33800.0,100,84500.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133772-Providing drains and gutters for public drainage,1,2025-01-13,67560.0,30,225200.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133772-Providing drains and gutters for public drainage,2,2025-01-18,135120.0,40,225200.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",1,2025-02-22,98670.0,30,328900.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",2,2025-04-08,98670.0,60,328900.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",3,2025-05-23,131560.0,100,328900.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-02-22,86520.0,30,288400.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-04-08,86520.0,60,288400.0,DEMO / SIMULATED DATA
"WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-05-23,115360.0,100,288400.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133775-Construction of public irrigation facilities,1,2025-02-22,87780.0,30,292600.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133775-Construction of public irrigation facilities,2,2025-04-08,117040.0,100,292600.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133776-Construction of public irrigation facilities,1,2025-02-22,86940.0,30,289800.0,DEMO / SIMULATED DATA
WS/MP577/2024-2025/133776-Construction of public irrigation facilities,2,2025-04-08,115920.0,100,289800.0,DEMO / SIMULATED DATA
"WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",1,2025-03-07,300000.0,30,1000000.0,DEMO / SIMULATED DATA
"WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",2,2025-04-21,300000.0,60,1000000.0,DEMO / SIMULATED DATA
"WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",3,2025-06-05,400000.0,100,1000000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area,1,2025-02-19,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area,2,2025-04-05,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area,3,2025-05-20,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133906-Construction of community centers and community halls,1,2025-02-19,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133906-Construction of community centers and community halls,2,2025-04-05,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133909-Construction of common work sheds/ common covered sitting area,1,2024-12-06,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133909-Construction of common work sheds/ common covered sitting area,2,2025-01-20,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area,1,2024-12-09,60000.0,30,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area,2,2025-01-23,60000.0,60,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area,3,2025-03-09,80000.0,100,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133911-Construction of community centers and community halls,1,2024-12-05,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133911-Construction of community centers and community halls,2,2025-01-19,150000.0,60,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133911-Construction of community centers and community halls,3,2025-03-05,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133912-Construction of community centers and community halls,1,2024-12-06,300000.0,30,1000000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133912-Construction of community centers and community halls,2,2025-01-20,400000.0,100,1000000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133913-Construction of common work sheds/ common covered sitting area,1,2025-05-11,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133913-Construction of common work sheds/ common covered sitting area,2,2025-06-25,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133919-Construction of common work sheds/ common covered sitting area,1,2025-02-01,60000.0,30,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133919-Construction of common work sheds/ common covered sitting area,2,2025-03-18,80000.0,100,200000.0,DEMO / SIMULATED DATA
WS/MP641/2025-2026/133920-Construction of community centers and community halls,1,2025-06-26,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/MP641/2025-2026/133920-Construction of community centers and community halls,2,2025-08-10,150000.0,60,500000.0,DEMO / SIMULATED DATA
WS/MP641/2025-2026/133920-Construction of community centers and community halls,3,2025-09-24,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/MP641/2025-2026/133921-Construction of community centers and community halls,1,2025-06-19,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/MP641/2025-2026/133921-Construction of community centers and community halls,2,2025-08-03,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building,1,2025-05-11,60000.0,30,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building,2,2025-06-25,60000.0,60,200000.0,DEMO / SIMULATED DATA
WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building,3,2025-08-09,80000.0,100,200000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133940-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133940-Construction of bus-sheds or bus-stops,2,2025-05-22,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133941-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133941-Construction of bus-sheds or bus-stops,2,2025-05-22,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops,2,2025-05-22,435300.0,60,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops,3,2025-07-06,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133945-Construction of bus-sheds or bus-stops,1,2025-02-26,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133945-Construction of bus-sheds or bus-stops,2,2025-03-03,870600.0,40,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops,2,2025-05-22,435300.0,60,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops,3,2025-07-06,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133947-Street lights,1,2025-04-26,298200.0,30,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133947-Street lights,2,2025-06-10,397600.0,100,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133949-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133949-Construction of bus-sheds or bus-stops,2,2025-05-22,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133955-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133955-Construction of bus-sheds or bus-stops,2,2025-05-22,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133959-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133959-Construction of bus-sheds or bus-stops,2,2025-05-22,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops,2,2025-05-22,435300.0,60,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops,3,2025-07-06,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133961-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133961-Construction of rainwater harvesting structures,2,2024-11-18,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures,2,2024-11-18,328800.0,60,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures,3,2025-01-02,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures,2,2024-11-18,328800.0,60,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures,3,2025-01-02,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops,1,2025-04-07,435300.0,30,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops,2,2025-05-22,435300.0,60,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops,3,2025-07-06,580400.0,100,1451000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133965-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133965-Construction of rainwater harvesting structures,2,2024-11-18,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures,2,2024-11-18,328800.0,60,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures,3,2025-01-02,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133967-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133967-Construction of rainwater harvesting structures,2,2024-11-18,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133968-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133968-Construction of rainwater harvesting structures,2,2024-11-18,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures,2,2024-11-18,328800.0,60,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures,3,2025-01-02,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures,1,2024-10-04,328800.0,30,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures,2,2024-11-18,328800.0,60,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures,3,2025-01-02,438400.0,100,1096000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133971-Installing community drinking water plants,1,2024-12-14,71905.8,30,239686.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133971-Installing community drinking water plants,2,2025-01-28,71905.8,60,239686.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133971-Installing community drinking water plants,3,2025-03-14,95874.4,100,239686.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133973-Street lights,1,2025-04-26,298200.0,30,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133973-Street lights,2,2025-06-10,397600.0,100,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133975-Street lights,1,2025-04-26,298200.0,30,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133975-Street lights,2,2025-06-10,298200.0,60,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133975-Street lights,3,2025-07-25,397600.0,100,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133976-Street lights,1,2025-03-17,298200.0,30,994000.0,DEMO / SIMULATED DATA
WS/MP423/2024-2025/133976-Street lights,2,2025-03-22,596400.0,40,994000.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134022-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2024-11-07,449053.8,30,1496846.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134022-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2024-12-22,598738.4,100,1496846.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134023-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2024-11-07,448945.2,30,1496484.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134023-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2024-12-22,598593.6,100,1496484.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134024-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2024-11-07,449245.2,30,1497484.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134024-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2024-12-22,449245.2,60,1497484.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134024-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-02-05,598993.6,100,1497484.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134025-Purchase of furniture and fixtures for educational purposes,1,2025-05-02,269892.0,30,899640.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134025-Purchase of furniture and fixtures for educational purposes,2,2025-06-16,269892.0,60,899640.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134025-Purchase of furniture and fixtures for educational purposes,3,2025-07-31,359856.0,100,899640.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134026-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-01-13,148539.9,30,495133.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134026-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-02-27,148539.9,60,495133.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134026-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-04-13,198053.2,100,495133.0,DEMO / SIMULATED DATA
WS/MP18032/2025-2026/134031-Construction of buildings for crèches and anganwadies,1,2026-01-06,146128.2,30,487094.0,DEMO / SIMULATED DATA
WS/MP18032/2025-2026/134031-Construction of buildings for crèches and anganwadies,2,2026-02-20,194837.6,100,487094.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134034-Development of public parks,1,2025-01-13,447489.6,30,1491632.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134034-Development of public parks,2,2025-02-27,447489.6,60,1491632.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134034-Development of public parks,3,2025-04-13,596652.8,100,1491632.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134035-Development of public parks,1,2025-03-03,290096.1,30,966987.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134035-Development of public parks,2,2025-04-17,290096.1,60,966987.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134035-Development of public parks,3,2025-06-01,386794.8,100,966987.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134037-Development of public parks,1,2024-12-01,296301.3,30,987671.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134037-Development of public parks,2,2025-01-15,395068.4,100,987671.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134038-Installing tube-wells and borewells,1,2025-01-23,297474.9,30,991583.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134038-Installing tube-wells and borewells,2,2025-03-09,297474.9,60,991583.0,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134038-Installing tube-wells and borewells,3,2025-04-23,396633.2,100,991583.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134039-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-01-31,149601.6,30,498672.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134039-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-03-17,199468.8,100,498672.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134041-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-01-23,134100.0,30,447000.0,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134041-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-03-09,178800.0,100,447000.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134091-Purchase of vans and buses for educational institutions,1,2024-12-26,375000.0,30,1250000.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134091-Purchase of vans and buses for educational institutions,2,2025-02-09,375000.0,60,1250000.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134091-Purchase of vans and buses for educational institutions,3,2025-03-26,500000.0,100,1250000.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134092-Lighting of public spaces,1,2024-12-26,65075.7,30,216919.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134092-Lighting of public spaces,2,2025-02-09,86767.6,100,216919.0,DEMO / SIMULATED DATA
"WS/MP632/2024-2025/134093-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2024-12-26,88348.8,30,294496.0,DEMO / SIMULATED DATA
"WS/MP632/2024-2025/134093-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-02-09,117798.4,100,294496.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134094-Lighting of public spaces,1,2024-12-27,65402.4,30,218008.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134094-Lighting of public spaces,2,2025-02-10,87203.2,100,218008.0,DEMO / SIMULATED DATA
"WS/MP632/2024-2025/134095-Purchase of IT systems, including hardware and software for educational purposes",1,2025-05-11,52960.5,30,176535.0,DEMO / SIMULATED DATA
"WS/MP632/2024-2025/134095-Purchase of IT systems, including hardware and software for educational purposes",2,2025-06-25,70614.0,100,176535.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134096-Lighting of public spaces,1,2024-12-26,64524.3,30,215081.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134096-Lighting of public spaces,2,2025-02-09,86032.4,100,215081.0,DEMO / SIMULATED DATA
WS/MP632/2024-2025/134100-Lighting of public spaces,1,2024-12-26,65571.0,30,218570.0,DEMO / SIMULATED DATA
